"","ï..Id","seed_sown_current_3","sowing_date_current_3","harvest_date_current_3","ParentId1","ParentId2"
"1",3,200,"3/6/2016 12:00:00 AM","11/6/2016 12:00:00 AM",0,"006a0dc2894d4f2c9397f08aa5b5cb94"
"2",4,308,"6/6/2016 12:00:00 AM","2/6/2017 12:00:00 AM",0,"006a0dc2894d4f2c9397f08aa5b5cb94"
"3",4,200,"1/6/2016 12:00:00 AM","11/6/2016 12:00:00 AM",1,"006a0dc2894d4f2c9397f08aa5b5cb94"
"4",3,300,"10/6/2015 12:00:00 AM","7/6/2016 12:00:00 AM",2,"006a0dc2894d4f2c9397f08aa5b5cb94"
"5",3,1500,"12/5/2015 12:00:00 AM","8/5/2016 12:00:00 AM",3,"006a0dc2894d4f2c9397f08aa5b5cb94"
"6",3,400,"7/27/2015 12:00:00 AM","4/27/2016 12:00:00 AM",0,"00eb1cd30dc446a69be47586390338be"
"7",3,12000,"6/5/2015 12:00:00 AM","5/6/2016 12:00:00 AM",0,"03abd292c4b7448d9dbce295fb2db1e3"
"8",3,2200,"10/4/2015 12:00:00 AM","10/22/2016 12:00:00 AM",1,"03abd292c4b7448d9dbce295fb2db1e3"
"9",3,400,"6/17/2015 12:00:00 AM","7/13/2016 12:00:00 AM",0,"040bdc633e9442fab018ce353ddb07e1"
"10",3,2500,"10/7/2015 12:00:00 AM","8/17/2016 12:00:00 AM",0,"043b164deab4443c86812a79def6b428"
"11",1,400,"1/6/2016 12:00:00 AM","6/8/2016 12:00:00 AM",0,"043b164deab4443c86812a79def6b428"
"12",4,0.8,"1/7/2016 12:00:00 AM","5/25/2016 12:00:00 AM",0,"043b164deab4443c86812a79def6b428"
"13",3,1500,"1/6/2016 12:00:00 AM","9/9/2016 12:00:00 AM",0,"046e9f633af34220ac3be597d8ac9749"
"14",3,2000,"8/26/2015 12:00:00 AM","6/22/2016 12:00:00 AM",1,"046e9f633af34220ac3be597d8ac9749"
"15",4,1500,"2/17/2016 12:00:00 AM","10/19/2016 12:00:00 AM",1,"046e9f633af34220ac3be597d8ac9749"
"16",3,12500,"6/10/2015 12:00:00 AM","6/9/2016 12:00:00 AM",0,"04e97d2aac034f87817b5de9cf8b4f89"
"17",2,100,"2/18/2016 12:00:00 AM","7/12/2016 12:00:00 AM",0,"05e5ce1f08c34c3a8f6b9f87c2e47116"
"18",1,150,"12/17/2015 12:00:00 AM","6/8/2016 12:00:00 AM",1,"05e5ce1f08c34c3a8f6b9f87c2e47116"
"19",2,225,"2/24/2016 12:00:00 AM","7/15/2016 12:00:00 AM",1,"05e5ce1f08c34c3a8f6b9f87c2e47116"
"20",3,2800,"10/28/2015 12:00:00 AM","10/6/2016 12:00:00 AM",0,"061995a541e54759ae88835704df23d8"
"21",4,700,"10/4/2015 12:00:00 AM","11/30/2016 12:00:00 AM",0,"061995a541e54759ae88835704df23d8"
"22",5,NA,"","",0,"061995a541e54759ae88835704df23d8"
"23",3,5000,"1/13/2016 12:00:00 AM","12/1/2016 12:00:00 AM",0,"0621dcd443a94b818ed4b82ac2396631"
